School_Percentage,Aptitude_Test,Acadmic_Achievement,Programming1,Programming2,School_type,Color
91,90,95,31,70,2,2
85,96,93,89,77,2,2
94,99,97,73,40,1,2
85,92,95,35,37,1,3
92,93,92,61,79,2,2
87,90,90,51,80,2,2
93,96,86,57,24,1,3
89,91,97,35,51,2,3
92,94,94,97,100,1,1
86,92,98,61,60,1,2
93,94,98,82,47,2,2
86,95,91,92,40,2,2
91,98,95,89,85,1,1
98,88,99,89,57,2,2
95,95,95,47,82,2,2
99,92,92,76,98,2,1
92,98,95,100,48,2,2
95,92,90,72,75,1,2
95,95,88,74,93,1,2
92,94,97,42,45,2,3
92,96,95,89,94,1,1
96,93,91,68,50,2,2
93,97,93,81,91,2,1
94,94,98,72,95,2,1
94,97,93,97,24,2,2
96,96,94,40,88,1,2
98,91,98,41,66,1,2
89,95,97,43,90,1,2
96,99,98,47,32,2,3
88,95,99,61,55,2,2
99,99,92,71,93,2,1
95,86,99,85,62,2,2
92,96,93,45,83,1,2
96,95,97,25,80,2,2
97,98,95,41,66,2,2
98,91,90,42,60,2,2
96,96,91,49,88,2,2
90,90,99,77,73,2,2
94,92,92,76,50,2,2
96,90,88,41,81,2,2
96,97,90,57,87,2,2
92,97,93,42,85,2,2
91,96,91,97,84,1,1
90,91,91,46,73,2,2
85,92,92,63,59,2,2
90,98,92,73,56,2,2
93,94,94,40,49,1,3
97,97,93,40,62,1,2
96,98,98,55,60,2,2
97,93,90,45,74,1,2
90,93,96,86,57,2,2
98,91,94,52,97,1,2
88,90,97,64,64,1,2
98,98,85,58,91,1,2
91,95,95,87,42,2,2
92,97,90,61,71,2,2
94,97,97,90,55,2,2
98,89,95,78,76,2,2
98,94,96,88,48,1,2
99,91,90,37,57,2,3
99,95,97,24,39,2,3
94,95,86,87,63,2,2
93,94,90,79,46,1,2
98,99,96,89,64,2,2
91,93,91,91,96,1,1
90,90,94,85,95,1,1
88,97,89,97,75,1,2
92,91,91,98,87,1,1
95,94,97,84,83,2,1
96,96,97,56,65,2,2
90,90,98,44,43,2,3
90,94,98,82,34,1,2
93,99,92,57,73,2,2
99,96,92,80,64,1,2
98,99,93,65,83,1,2
90,92,95,32,59,2,3
99,86,92,51,51,2,2
91,91,94,83,48,2,2
94,94,99,82,56,1,2
95,94,94,92,60,2,2
100,95,97,47,52,2,2
98,98,90,89,54,2,2
92,96,92,58,49,1,2
94,92,91,93,73,2,2
91,95,94,52,78,1,2
90,92,88,81,91,2,2
94,93,91,28,73,1,2
92,99,90,48,99,1,2
91,92,94,82,61,1,2
90,91,91,44,53,1,3
99,98,99,33,70,2,2
91,94,91,67,82,1,2
93,97,96,64,48,1,2
95,93,97,92,90,2,1
91,98,95,86,82,2,1
90,95,98,67,67,1,2
88,90,98,80,52,1,2
95,95,95,82,94,1,1
98,98,98,52,87,1,2
93,93,97,89,52,1,2
97,98,96,45,54,1,2
92,95,95,75,62,1,2
94,88,95,61,55,2,2
99,94,92,61,63,2,2
92,93,90,78,76,2,2
93,94,90,97,69,1,2
90,98,99,90,82,2,1
99,91,94,69,74,1,2
95,91,98,73,96,2,1
94,90,91,51,47,1,3
86,97,86,84,87,1,2
95,98,96,96,62,1,2
91,92,95,44,68,1,2
92,92,98,32,40,1,3
93,95,97,48,38,1,3
97,94,90,94,29,1,2
95,95,97,56,94,1,2
91,91,98,61,81,1,2
90,86,97,76,53,2,2
94,96,90,59,99,1,2
94,92,90,50,95,2,2
99,92,99,71,93,2,1
99,94,95,24,89,1,2
96,95,87,75,65,1,2
97,93,90,73,41,1,2
91,96,94,64,98,2,2
95,96,95,70,42,1,2
94,99,92,67,85,1,2
91,97,99,58,46,1,2
94,94,95,63,76,2,2
91,95,97,51,88,2,2
92,94,92,28,69,2,2
90,92,98,57,46,1,2
97,86,94,48,41,2,3
88,96,97,68,68,1,2
94,92,97,79,73,2,2
90,90,94,70,51,1,2
90,96,98,66,46,1,2
98,95,98,35,69,1,2
96,98,98,77,63,1,2
93,96,98,85,94,2,1
98,91,97,65,40,2,2
96,92,96,44,95,2,2
95,96,90,88,82,1,1
92,94,88,53,64,1,2
91,95,97,38,73,2,2
97,95,96,63,53,2,2
90,94,98,67,98,1,2
95,93,93,70,63,1,2
90,97,91,45,79,2,2
97,94,92,54,95,1,2
97,97,92,82,67,2,2
92,98,95,92,97,2,1
90,92,98,53,97,2,2
97,90,95,80,62,1,2
95,91,97,99,35,2,2
99,96,94,71,95,1,1
93,91,93,40,68,2,2
99,85,97,100,99,1,1
98,93,91,86,91,2,1
98,97,90,65,91,1,2
91,99,95,95,43,1,2
91,97,97,81,64,2,2
99,99,97,35,69,1,2
96,94,93,33,45,2,3
95,94,99,97,55,1,2
92,91,92,51,70,1,2
99,92,88,52,63,1,2
94,98,92,63,75,2,2
87,99,90,97,64,1,2
97,96,92,87,55,2,2
90,96,90,97,38,1,2
98,93,96,66,45,1,2
97,93,92,56,54,2,2
97,93,96,51,77,1,2
98,95,99,84,42,1,2
97,96,97,45,75,2,2
95,91,92,68,58,2,2
97,90,99,66,45,1,2
94,93,93,98,49,1,2
93,93,96,76,57,1,2
98,85,96,47,81,2,2
96,93,91,51,54,2,2
93,91,92,67,52,1,2
91,94,96,100,73,1,1
96,94,95,67,91,2,2
99,99,95,65,57,2,2
91,99,90,50,59,2,2
97,93,94,54,49,1,2
97,91,92,83,52,1,2
95,91,92,91,46,2,2
97,92,93,54,77,2,2
99,98,97,60,50,1,2
97,92,85,77,76,1,2
90,97,95,59,61,1,2
95,98,90,59,98,1,2
91,99,99,41,85,2,2
98,91,95,24,45,1,3
91,96,99,45,69,2,2
89,99,93,42,86,2,2
90,91,86,46,33,2,3
91,92,96,25,95,2,2
98,94,97,68,57,1,2
96,93,95,88,43,2,2
94,97,98,50,94,2,2
96,96,92,89,96,2,1
91,91,92,37,51,1,3
98,90,91,97,58,2,2
95,93,96,54,88,1,2
95,89,94,78,98,1,1
98,92,92,84,65,1,2
99,94,98,92,73,1,1
98,96,97,59,94,1,2
90,91,92,99,44,2,2
87,90,94,99,52,1,2
97,90,91,65,60,2,2
99,92,92,85,63,1,2
92,94,99,83,45,1,2
91,93,94,69,48,2,2
96,91,86,64,67,1,2
96,99,93,71,57,1,2
91,96,94,65,41,2,2
93,94,90,67,76,1,2
94,96,93,32,49,2,3
90,98,91,40,59,2,2
95,95,92,56,75,2,2
97,92,93,39,51,2,3
99,90,96,96,64,1,2
96,92,91,33,88,2,2
91,98,98,87,69,2,2
99,91,99,48,74,2,2
93,89,98,87,53,2,2
99,92,90,48,84,2,2
99,90,94,88,57,2,2
97,93,96,82,59,2,2
97,91,92,92,54,1,2
90,95,97,96,84,1,1
93,90,94,61,50,2,2
95,91,99,77,53,2,2
86,98,90,81,83,2,2
94,92,98,64,49,2,2
91,91,92,50,43,2,3
95,98,98,99,89,1,1
95,91,95,44,40,2,3
96,98,92,51,76,2,2
98,92,91,77,45,2,2
92,96,89,75,42,1,2
94,90,91,99,98,1,1
90,95,95,31,71,2,2
93,98,90,81,66,1,2
92,95,94,72,49,2,2
99,97,97,65,72,2,2
92,90,92,97,44,2,2
91,97,99,83,92,2,1
93,91,92,99,60,1,2
97,90,99,86,77,2,2
99,97,99,97,43,2,2
93,96,96,93,99,2,1
93,95,97,55,89,2,2
98,87,90,65,87,2,2
92,92,92,52,98,1,2
90,93,97,74,94,1,2
93,93,98,93,79,1,1
93,99,99,74,55,1,2
91,90,95,85,68,1,2
98,96,96,69,92,1,1
98,95,86,87,57,1,2
91,97,90,71,87,1,2
90,90,97,43,31,1,3
92,94,96,39,90,2,2
