School_Percentage,Aptitude_Test,Acadmic_Achievement,Programming1,Programming2,Data_Structure,Visual_Programming,School_type,Color
91,90,95,31,70,73,59,2,3
85,96,93,89,77,92,59,2,2
94,99,97,73,40,55,87,1,2
85,92,95,35,37,61,71,1,3
92,93,92,61,79,81,60,2,2
87,90,90,51,80,58,86,2,2
93,96,86,57,24,52,92,1,3
89,91,97,35,51,77,59,2,3
92,94,94,97,100,83,60,1,2
86,92,98,61,60,74,92,1,2
93,94,98,82,47,60,42,2,3
86,95,91,92,40,68,82,2,2
91,98,95,89,85,71,56,1,2
98,88,99,89,57,85,88,2,2
95,95,95,47,82,89,76,2,2
99,92,92,76,98,67,45,2,2
92,98,95,100,48,67,45,2,2
95,92,90,72,75,83,56,1,2
95,95,88,74,93,48,97,1,2
92,94,97,42,45,62,64,2,3
92,96,95,89,94,88,75,1,2
96,93,91,68,50,68,47,2,3
93,97,93,81,91,60,75,2,2
94,94,98,72,95,60,73,2,2
94,97,93,97,24,46,99,2,2
96,96,94,40,88,85,33,1,2
98,91,98,41,66,52,98,1,2
89,95,97,43,90,53,70,1,2
96,99,98,47,32,58,47,2,3
88,95,99,61,55,50,55,2,3
99,99,92,71,93,55,31,2,2
95,86,99,85,62,54,54,2,2
92,96,93,45,83,93,43,1,2
96,95,97,25,80,41,46,2,3
97,98,95,41,66,96,67,2,2
98,91,90,42,60,70,58,2,3
96,96,91,49,88,88,96,2,2
90,90,99,77,73,45,86,2,2
94,92,92,76,50,68,91,2,2
96,90,88,41,81,47,91,2,2
96,97,90,57,87,74,94,2,2
92,97,93,42,85,52,47,2,3
91,96,91,97,84,60,54,1,2
90,91,91,46,73,67,91,2,2
85,92,92,63,59,99,64,2,2
90,98,92,73,56,66,80,2,2
93,94,94,40,49,93,59,1,3
97,97,93,40,62,51,56,1,3
96,98,98,55,60,52,93,2,2
97,93,90,45,74,48,63,1,3
90,93,96,86,57,44,87,2,2
98,91,94,52,97,88,84,1,2
88,90,97,64,64,41,66,1,3
98,98,85,58,91,44,57,1,2
91,95,95,87,42,80,70,2,2
92,97,90,61,71,51,61,2,3
94,97,97,90,55,76,77,2,2
98,89,95,78,76,85,79,2,2
98,94,96,88,48,72,42,1,2
99,91,90,37,57,88,62,2,3
99,95,97,24,39,78,91,2,3
94,95,86,87,63,75,66,2,2
93,94,90,79,46,87,49,1,2
98,99,96,89,64,55,56,2,2
91,93,91,91,96,62,50,1,2
90,90,94,85,95,47,47,1,2
88,97,89,97,75,63,52,1,2
92,91,91,98,87,76,46,1,2
95,94,97,84,83,82,99,2,1
96,96,97,56,65,82,61,2,2
90,90,98,44,43,75,52,2,3
90,94,98,82,34,47,87,1,2
93,99,92,57,73,88,59,2,2
99,96,92,80,64,52,74,1,2
98,99,93,65,83,88,88,1,2
90,92,95,32,59,64,54,2,3
99,86,92,51,51,51,65,2,3
91,91,94,83,48,96,48,2,2
94,94,99,82,56,63,43,1,2
95,94,94,92,60,84,53,2,2
100,95,97,47,52,95,62,2,2
98,98,90,89,54,48,57,2,2
92,96,92,58,49,48,42,1,3
94,92,91,93,73,95,72,2,2
91,95,94,52,78,85,61,1,2
90,92,88,81,91,92,72,2,2
94,93,91,28,73,71,71,1,3
92,99,90,48,99,92,73,1,2
91,92,94,82,61,54,25,1,3
90,91,91,44,53,67,93,1,2
99,98,99,33,70,97,86,2,2
91,94,91,67,82,80,89,1,2
93,97,96,64,48,54,57,1,3
95,93,97,92,90,94,46,2,2
91,98,95,86,82,59,51,2,2
90,95,98,67,67,97,48,1,2
88,90,98,80,52,75,93,1,2
95,95,95,82,94,73,79,1,2
98,98,98,52,87,90,68,1,2
93,93,97,89,52,64,80,1,2
97,98,96,45,54,58,59,1,3
92,95,95,75,62,67,45,1,2
94,88,95,61,55,43,47,2,3
99,94,92,61,63,70,54,2,2
92,93,90,78,76,61,76,2,2
93,94,90,97,69,91,88,1,2
90,98,99,90,82,73,44,2,2
99,91,94,69,74,36,100,1,2
95,91,98,73,96,49,60,2,2
94,90,91,51,47,69,59,1,3
86,97,86,84,87,76,67,1,2
95,98,96,96,62,55,47,1,2
91,92,95,44,68,75,67,1,2
92,92,98,32,40,100,94,1,2
93,95,97,48,38,60,51,1,3
97,94,90,94,29,62,54,1,3
95,95,97,56,94,57,48,1,2
91,91,98,61,81,94,54,1,2
90,86,97,76,53,58,60,2,3
94,96,90,59,99,84,64,1,2
94,92,90,50,95,75,74,2,2
99,92,99,71,93,96,59,2,2
99,94,95,24,89,93,88,1,2
96,95,87,75,65,78,51,1,2
97,93,90,73,41,40,60,1,3
91,96,94,64,98,86,93,2,2
95,96,95,70,42,69,41,1,3
94,99,92,67,85,67,79,1,2
91,97,99,58,46,98,24,1,3
94,94,95,63,76,70,92,2,2
91,95,97,51,88,46,63,2,2
92,94,92,28,69,66,70,2,3
90,92,98,57,46,79,85,1,2
97,86,94,48,41,57,63,2,3
88,96,97,68,68,94,79,1,2
94,92,97,79,73,72,45,2,2
90,90,94,70,51,85,44,1,3
90,96,98,66,46,63,45,1,3
98,95,98,35,69,96,68,1,2
96,98,98,77,63,99,88,1,2
93,96,98,85,94,98,80,2,1
98,91,97,65,40,96,27,2,3
96,92,96,44,95,84,66,2,2
95,96,90,88,82,81,81,1,2
92,94,88,53,64,67,95,1,2
91,95,97,38,73,96,57,2,2
97,95,96,63,53,62,72,2,2
90,94,98,67,98,91,64,1,2
95,93,93,70,63,82,67,1,2
90,97,91,45,79,36,95,2,2
97,94,92,54,95,79,97,1,2
97,97,92,82,67,64,44,2,2
